Country,Year,ICD rev and list,Cause group,Sex,Format,Sum of selected ages,< 1 year,1 year,2 years,3 years,4 years,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 - 95,95 +,Unknown
Greece,1978,08A,A,M,02,192,0,0,,,,0,3,6,16,17,16,13,9,17,9,17,16,9,15,14,10,5,,,0
Greece,1978,08A,A,F,02,78,0,0,,,,0,2,6,6,4,3,2,7,4,6,9,9,4,2,8,4,2,,,0
Greece,1977,08A,A,M,02,212,0,0,,,,0,2,6,18,14,13,13,9,19,17,19,17,27,18,8,7,5,,,0
Greece,1977,08A,A,F,02,94,0,0,,,,0,0,4,4,6,6,6,7,7,8,7,4,11,12,6,4,2,,,0
Greece,1976,08A,A,M,02,171,0,0,,,,0,3,3,9,11,8,9,12,15,23,10,15,13,11,14,9,6,,,0
Greece,1976,08A,A,F,02,84,0,0,,,,0,2,7,13,7,3,3,8,5,2,6,6,4,8,6,2,2,,,0
Greece,1975,08A,A,M,02,154,0,0,,,,0,0,8,18,12,12,4,9,21,6,11,11,13,11,9,5,4,,,0
Greece,1975,08A,A,F,02,95,0,0,,,,0,1,6,5,6,5,5,5,14,7,9,11,7,2,7,2,3,,,0
Greece,1974,08A,A,M,02,200,0,0,,,,0,1,7,16,12,15,13,20,13,17,12,9,25,19,8,6,7,,,0
Greece,1974,08A,A,F,02,108,0,0,,,,0,0,6,5,6,10,9,5,3,8,10,8,16,11,8,2,1,,,0
Greece,1973,08A,A,M,02,176,0,0,,,,0,0,2,18,11,8,12,7,11,16,12,24,19,12,11,7,6,,,0
Greece,1973,08A,A,F,02,88,0,0,,,,0,0,4,6,6,2,8,7,2,10,10,6,10,7,4,4,2,,,0
Greece,1972,08A,A,M,02,171,0,0,,,,0,0,3,11,10,11,7,11,9,15,18,19,21,15,13,3,4,,,1
Greece,1972,08A,A,F,02,69,0,0,,,,0,0,1,8,2,2,4,4,5,4,10,7,4,9,5,3,1,,,0
Greece,1971,08A,A,M,02,200,0,0,,,,0,1,5,11,21,10,13,18,17,12,23,15,16,15,9,7,7,,,0
Greece,1971,08A,A,F,02,88,0,0,,,,0,2,3,10,5,2,5,5,7,5,9,6,12,4,8,2,3,,,0
Greece,1970,08A,A,M,02,197,0,0,,,,0,0,2,9,16,5,12,27,12,18,25,24,23,8,6,5,5,,,0
Greece,1970,08A,A,F,02,81,0,0,,,,0,1,7,2,6,4,2,5,5,11,13,8,2,4,8,1,2,,,0
Greece,1969,08A,A,M,02,209,0,0,,,,0,0,4,13,12,15,17,19,20,19,24,18,21,11,4,5,6,,,1
Greece,1969,08A,A,F,02,97,0,0,,,,0,2,9,3,4,5,9,11,3,7,10,5,11,7,4,4,3,,,0
Greece,1968,08A,A,M,02,227,0,0,,,,0,0,5,23,13,12,12,21,19,22,22,24,23,8,10,7,6,,,0
Greece,1968,08A,A,F,02,87,0,0,,,,0,0,4,7,5,10,10,1,5,11,11,4,4,5,4,4,2,,,0
