Country,Year,ICD rev and list,Cause group,Sex,Format,Sum of selected ages,< 1 year,1 year,2 years,3 years,4 years,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 - 95,95 +,Unknown
Greece,1967,07A,A,M,02,200,0,0,,,,0,2,8,16,11,9,13,18,10,24,25,20,15,10,7,5,7,,,0
Greece,1967,07A,A,F,02,97,0,0,,,,0,1,9,4,7,9,7,6,9,9,11,5,6,6,3,3,2,,,0
Greece,1966,07A,A,M,02,170,0,0,,,,0,1,5,17,8,15,9,11,17,25,13,11,15,3,10,8,2,,,0
Greece,1966,07A,A,F,02,102,0,0,,,,0,4,8,13,5,7,7,10,4,19,5,9,3,3,3,2,0,,,0
Greece,1965,07A,A,M,02,184,0,0,,,,0,1,10,15,12,15,20,18,11,17,21,15,11,6,5,3,4,,,0
Greece,1965,07A,A,F,02,92,0,0,,,,0,0,13,10,7,6,7,9,5,10,2,6,6,6,3,1,1,,,0
Greece,1964,07A,A,M,02,193,0,0,,,,0,1,7,17,15,14,16,12,10,22,26,16,9,11,9,3,4,,,1
Greece,1964,07A,A,F,02,78,0,0,,,,0,2,10,9,4,5,8,4,1,3,9,12,2,3,3,2,1,,,0
Greece,1963,07A,A,M,02,206,0,0,,,,0,0,7,19,15,18,13,11,15,17,22,21,20,8,8,11,0,,,1
Greece,1963,07A,A,F,02,116,0,0,,,,0,0,14,13,9,13,12,6,4,11,8,9,3,2,7,1,4,,,0
Greece,1962,07A,A,M,02,179,0,0,,,,1,0,5,18,16,19,7,14,8,24,21,6,13,8,12,3,4,,,0
Greece,1962,07A,A,F,02,107,0,0,,,,0,0,12,18,11,8,6,7,7,12,4,9,2,3,5,2,1,,,0
Greece,1961,07A,A,M,02,238,0,0,,,,0,3,8,21,24,13,15,12,14,18,33,25,16,14,11,7,4,,,0
Greece,1961,07A,A,F,02,126,0,0,,,,0,1,19,17,14,10,6,7,5,14,7,10,3,5,1,6,1,,,0
